,duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
4812,2 minutes,81,Berry St at 4th St,50,2nd St at Townsend St,5366,Subscriber,1991,Male,27.0
4813,9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,3375,Subscriber,1986,Male,26.0
4814,10 minutes,81,Berry St at 4th St,22,Howard St at Beale St,2374,Subscriber,1987,Female,27.0
4815,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),2346,Subscriber,1958,Female,27.0
4816,9 minutes,5,Powell St BART Station (Market St at 5th St),102,Irwin St at 8th St,5137,Customer,1990,Male,26.0
4817,5 minutes,22,Howard St at Beale St,22,Howard St at Beale St,4760,Subscriber,1987,Female,27.0
4818,5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,5261,Subscriber,1988,Male,27.0
4819,15 minutes,81,Berry St at 4th St,22,Howard St at Beale St,1565,Subscriber,1984,Male,29.0
4820,4 minutes,30,San Francisco Caltrain (Townsend St at 4th St),79,7th St at Brannan St,5057,Subscriber,1988,Male,27.0
4821,13 minutes,16,Steuart St at Market St,58,Market St at 10th St,4831,Subscriber,1992,Male,26.0
4822,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,4976,Subscriber,1985,Male,26.0
4823,10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,5065,Customer,1975,Male,27.0
4824,3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,5381,Subscriber,1996,Male,29.0
4825,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),36,Folsom St at 3rd St,1014,Subscriber,1973,Male,26.0
4826,2 minutes,16,Steuart St at Market St,23,The Embarcadero at Steuart St,5401,Subscriber,1984,Male,26.0
4827,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),28,The Embarcadero at Bryant St,4889,Customer,1978,Male,26.0
4828,12 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,5036,Subscriber,1979,Male,27.0
4829,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),2275,Subscriber,1979,Male,27.0
4830,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,4347,Subscriber,1994,Male,29.0
4831,12 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),5305,Subscriber,1988,Male,26.0
4832,7 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),5024,Subscriber,1993,Male,29.0
4833,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),3743,Subscriber,1965,Female,26.0
4834,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,1523,Subscriber,1976,Male,27.0
4835,4 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5001,Subscriber,1980,Male,29.0
4836,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,1057,Subscriber,1989,Female,27.0
4837,9 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),2136,Subscriber,1983,Female,27.0
4838,17 minutes,81,Berry St at 4th St,10,Washington St at Kearny St,4923,Subscriber,1992,Male,29.0
4839,16 minutes,81,Berry St at 4th St,10,Washington St at Kearny St,4318,Subscriber,1990,Male,29.0
4840,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),357,Subscriber,1981,Male,26.0
4841,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),25,Howard St at 2nd St,2864,Subscriber,1953,Male,27.0
4842,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),343,Bryant St at 2nd St,1308,Customer,1988,Male,26.0
4843,12 minutes,16,Steuart St at Market St,364,China Basin St at 3rd St,5271,Subscriber,1989,Male,27.0
4844,7 minutes,81,Berry St at 4th St,22,Howard St at Beale St,3579,Subscriber,1968,Male,26.0
4845,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,2366,Subscriber,1979,Male,26.0
4846,9 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,5477,Subscriber,1975,Male,26.0
4847,9 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),5368,Subscriber,1977,Male,27.0
4848,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),23,The Embarcadero at Steuart St,1896,Subscriber,1991,Male,29.0
4849,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37,2nd St at Folsom St,2367,Customer,1984,Male,29.0
4850,13 minutes,22,Howard St at Beale St,91,Berry St at King St,3661,Subscriber,1978,Male,26.0
4851,4 minutes,3,Powell St BART Station (Market St at 4th St),37,2nd St at Folsom St,4850,Subscriber,1970,Male,26.0
4852,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,4966,Subscriber,1996,Female,27.0
4853,3 minutes,3,Powell St BART Station (Market St at 4th St),47,4th St at Harrison St,5572,Subscriber,1995,Male,26.0
4854,5 minutes,22,Howard St at Beale St,50,2nd St at Townsend St,5140,Subscriber,1986,Male,29.0
4855,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,1684,Subscriber,1950,Female,26.0
4856,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),4978,Subscriber,1979,Male,26.0
4857,4 minutes,81,Berry St at 4th St,93,4th St at Mission Bay Blvd S,1140,Subscriber,1947,Male,29.0
4858,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),323,Broadway at Kearny,5359,Subscriber,1985,Male,26.0
4859,1 minutes,81,Berry St at 4th St,81,Berry St at 4th St,3375,Subscriber,1985,Male,26.0
4860,7 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),5065,Subscriber,1990,Male,27.0
4861,4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),49,S Park St at 3rd St,62,Subscriber,1987,Male,27.0
4862,9 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,5369,Subscriber,1973,Male,26.0
4863,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2346,Subscriber,1979,Male,27.0
4864,8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),25,Howard St at 2nd St,2627,Subscriber,1971,Male,26.0
4865,6 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,172,Subscriber,1976,Male,27.0
4866,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,4326,Subscriber,1971,Male,27.0
4867,6 minutes,81,Berry St at 4th St,349,Howard St at Mary St,4799,Subscriber,1992,Female,29.0
4868,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),66,3rd St at Townsend St,1116,Subscriber,1992,Male,29.0
4869,12 minutes,81,Berry St at 4th St,22,Howard St at Beale St,3128,Subscriber,1978,Male,26.0
4870,4 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5353,Subscriber,1981,Female,27.0
4871,12 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,5130,Subscriber,1983,Male,27.0
4872,9 minutes,16,Steuart St at Market St,80,Townsend St at 5th St,5495,Subscriber,1991,Male,26.0
4873,8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,5477,Subscriber,1987,Male,26.0
4874,10 minutes,81,Berry St at 4th St,101,15th St at Potrero Ave,5520,Subscriber,1990,Female,27.0
4875,9 minutes,16,Steuart St at Market St,66,3rd St at Townsend St,4911,Subscriber,1988,Male,26.0
4876,13 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,5015,Subscriber,1985,Female,26.0
4877,10 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,4986,Subscriber,1988,Male,26.0
4878,13 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5016,Subscriber,1966,Male,26.0
4879,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),77,11th St at Natoma St,5221,Subscriber,1989,Female,26.0
4880,16 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),875,Customer,1974,Male,29.0
4881,9 minutes,3,Powell St BART Station (Market St at 4th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),4978,Subscriber,1990,Male,26.0
4882,2 minutes,21,Montgomery St BART Station (Market St at 2nd St),16,Steuart St at Market St,5369,Subscriber,1987,Male,26.0
4883,5 minutes,22,Howard St at Beale St,11,Davis St at Jackson St,5294,Subscriber,1987,Male,27.0
4884,12 minutes,81,Berry St at 4th St,110,17th & Folsom Street Park (17th St at Folsom St),4671,Subscriber,1985,Female,26.0
4885,12 minutes,22,Howard St at Beale St,79,7th St at Brannan St,4774,Subscriber,1991,Male,27.0
4886,4 minutes,3,Powell St BART Station (Market St at 4th St),370,Jones St at Post St,5276,Subscriber,1993,Male,27.0
4887,3 minutes,16,Steuart St at Market St,11,Davis St at Jackson St,5526,Subscriber,1967,Male,27.0
4888,5 minutes,22,Howard St at Beale St,9,Broadway at Battery St,4533,Subscriber,1981,Male,26.0
4889,12 minutes,81,Berry St at 4th St,16,Steuart St at Market St,2266,Subscriber,1990,Female,26.0
4890,7 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5462,Subscriber,1984,Female,27.0
4891,10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,4617,Subscriber,1974,Male,26.0
4892,8 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,3395,Subscriber,1974,Male,26.0
4893,10 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,5301,Subscriber,1983,Other,27.0
4894,11 minutes,22,Howard St at Beale St,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),2366,Subscriber,1985,Male,26.0
4895,9 minutes,21,Montgomery St BART Station (Market St at 2nd St),90,Townsend St at 7th St,4821,Subscriber,1980,Male,26.0
4896,6 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,1103,Subscriber,1986,Female,26.0
4897,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,4641,Subscriber,1995,Female,27.0
4898,10 minutes,81,Berry St at 4th St,363,Salesforce Transit Center (Natoma St at 2nd St),2576,Subscriber,1978,Male,26.0
4899,5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,1109,Subscriber,1989,Female,27.0
4900,11 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,4315,Subscriber,1988,Male,27.0
4901,6 minutes,30,San Francisco Caltrain (Townsend St at 4th St),27,Beale St at Harrison St,5024,Subscriber,1981,Female,29.0
4902,6 minutes,81,Berry St at 4th St,349,Howard St at Mary St,4742,Subscriber,1985,Male,26.0
4903,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,4653,Subscriber,1987,Male,26.0
4904,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,5533,Subscriber,1993,Male,29.0
4905,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,2191,Subscriber,1979,Male,26.0
4906,13 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),5374,Subscriber,1987,Male,26.0
4907,4 minutes,81,Berry St at 4th St,50,2nd St at Townsend St,3224,Subscriber,1980,Male,26.0
4908,6 minutes,81,Berry St at 4th St,36,Folsom St at 3rd St,3710,Subscriber,1964,Male,26.0
4909,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,1920,Subscriber,1980,Male,26.0
4910,12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,3128,Subscriber,1978,Female,26.0
4911,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),3069,Subscriber,1966,Male,26.0
4912,11 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,4751,Subscriber,1986,Male,26.0
4913,10 minutes,81,Berry St at 4th St,22,Howard St at Beale St,4533,Subscriber,1986,Male,26.0
4914,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),50,2nd St at Townsend St,2711,Subscriber,1984,Male,26.0
4915,15 minutes,21,Montgomery St BART Station (Market St at 2nd St),93,4th St at Mission Bay Blvd S,4997,Subscriber,1986,Female,26.0
4916,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5484,Subscriber,1976,Male,26.0
4917,24 minutes,16,Steuart St at Market St,99,Folsom St at 15th St,868,Subscriber,1980,Male,27.0
4918,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,901,Subscriber,1967,Male,29.0
4919,9 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4911,Customer,1989,Male,26.0
4920,9 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5023,Subscriber,1982,Male,26.0
4921,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,3363,Subscriber,1987,Male,27.0
4922,6 minutes,81,Berry St at 4th St,104,4th St at 16th St,4570,Subscriber,1989,Female,26.0
4923,8 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4986,Subscriber,1974,Male,26.0
4924,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,2571,Subscriber,1990,Male,26.0
4925,8 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,4994,Subscriber,1983,Male,29.0
4926,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),61,Howard St at 8th St,2165,Subscriber,1988,Male,26.0
4927,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),11,Davis St at Jackson St,1515,Subscriber,1983,Female,27.0
4928,5 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4383,Subscriber,1994,Male,29.0
4929,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,5281,Subscriber,1988,Female,26.0
4930,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,43,Subscriber,1970,Male,26.0
4931,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,4736,Subscriber,1971,Male,29.0
4932,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,2343,Subscriber,1990,Male,27.0
4933,16 minutes,16,Steuart St at Market St,101,15th St at Potrero Ave,5000,Subscriber,1974,Male,26.0
4934,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),500,Subscriber,1967,Male,27.0
4935,8 minutes,3,Powell St BART Station (Market St at 4th St),30,San Francisco Caltrain (Townsend St at 4th St),5024,Subscriber,1996,Male,29.0
4936,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),1544,Subscriber,1987,Male,29.0
4937,4 minutes,5,Powell St BART Station (Market St at 5th St),21,Montgomery St BART Station (Market St at 2nd St),5462,Subscriber,1978,Male,27.0
4938,5 minutes,21,Montgomery St BART Station (Market St at 2nd St),37,2nd St at Folsom St,3139,Subscriber,1963,Male,27.0
4939,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),363,Salesforce Transit Center (Natoma St at 2nd St),2761,Subscriber,1983,Male,26.0
4940,12 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),5082,Subscriber,1968,Male,26.0
4941,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),19,Post St at Kearny St,2086,Subscriber,1980,Male,27.0
4942,13 minutes,22,Howard St at Beale St,93,4th St at Mission Bay Blvd S,3048,Subscriber,1987,Male,27.0
4943,6 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),9,Broadway at Battery St,3388,Customer,1988,Male,29.0
4944,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),36,Folsom St at 3rd St,5380,Subscriber,1979,Male,27.0
4945,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,5440,Subscriber,1990,Female,27.0
4946,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),793,Subscriber,1971,Male,26.0
4947,6 minutes,81,Berry St at 4th St,101,15th St at Potrero Ave,5521,Subscriber,1980,Male,27.0
4948,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),17,Embarcadero BART Station (Beale St at Market St),4757,Subscriber,1989,Male,26.0
4949,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),10,Washington St at Kearny St,4963,Subscriber,1992,Male,27.0
4950,8 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,5301,Subscriber,1969,Female,27.0
4951,8 minutes,3,Powell St BART Station (Market St at 4th St),81,Berry St at 4th St,4671,Subscriber,1996,Female,26.0
4952,15 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,3400,Subscriber,1979,Male,27.0
4953,5 minutes,22,Howard St at Beale St,343,Bryant St at 2nd St,4793,Subscriber,1983,Male,26.0
4954,12 minutes,22,Howard St at Beale St,81,Berry St at 4th St,1896,Subscriber,1979,Female,29.0
4955,5 minutes,5,Powell St BART Station (Market St at 5th St),64,5th St at Brannan St,5482,Subscriber,1990,Male,26.0
4956,9 minutes,22,Howard St at Beale St,350,8th St at Brannan St,4852,Subscriber,1988,Female,26.0
4957,13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,3355,Subscriber,1985,Male,26.0
4958,11 minutes,81,Berry St at 4th St,17,Embarcadero BART Station (Beale St at Market St),4939,Subscriber,1988,Male,26.0
4959,11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,2473,Subscriber,1974,Male,26.0
4960,14 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),10,Washington St at Kearny St,4557,Subscriber,1951,Male,26.0
4961,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,5300,Subscriber,1981,Male,29.0
4962,6 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,4811,Subscriber,1979,Female,27.0
4963,10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),61,Howard St at 8th St,45,Subscriber,1994,Male,26.0
4964,7 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,4586,Subscriber,1993,Male,27.0
4965,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),41,Golden Gate Ave at Polk St,1850,Subscriber,1969,Male,27.0
4966,5 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,4996,Subscriber,1981,Male,26.0
4967,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,2330,Subscriber,1989,Male,27.0
4968,2 minutes,22,Howard St at Beale St,27,Beale St at Harrison St,3579,Subscriber,1983,Female,26.0
4969,8 minutes,81,Berry St at 4th St,22,Howard St at Beale St,4774,Subscriber,1988,Male,27.0
4970,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),349,Howard St at Mary St,439,Subscriber,1979,Male,26.0
4971,13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,2351,Customer,1996,Male,26.0
4972,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),5,Powell St BART Station (Market St at 5th St),1109,Subscriber,1995,Male,27.0
4973,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),10,Washington St at Kearny St,2395,Subscriber,1958,Male,26.0
4974,2 minutes,22,Howard St at Beale St,25,Howard St at 2nd St,1535,Subscriber,1974,Male,29.0
4975,7 minutes,81,Berry St at 4th St,15,San Francisco Ferry Building (Harry Bridges Plaza),4617,Subscriber,1973,Male,26.0
4976,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5380,Subscriber,1990,Female,27.0
4977,8 minutes,22,Howard St at Beale St,9,Broadway at Battery St,873,Subscriber,1959,Male,27.0
4978,14 minutes,81,Berry St at 4th St,6,The Embarcadero at Sansome St,2960,Subscriber,1985,Male,26.0
4979,11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),23,The Embarcadero at Steuart St,135,Subscriber,1983,Male,26.0
4980,8 minutes,22,Howard St at Beale St,81,Berry St at 4th St,4994,Subscriber,1969,Female,29.0
4981,8 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,2366,Subscriber,1975,Male,26.0
4982,7 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,685,Subscriber,1979,Male,29.0
4983,9 minutes,22,Howard St at Beale St,349,Howard St at Mary St,2206,Subscriber,1958,Male,26.0
4984,8 minutes,81,Berry St at 4th St,23,The Embarcadero at Steuart St,3675,Subscriber,1984,Male,29.0
4985,6 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,5141,Subscriber,1980,Female,27.0
4986,10 minutes,30,San Francisco Caltrain (Townsend St at 4th St),59,S Van Ness Ave at Market St,4561,Subscriber,1967,Male,26.0
4987,5 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,1353,Subscriber,1968,Male,26.0
4988,13 minutes,16,Steuart St at Market St,93,4th St at Mission Bay Blvd S,1718,Subscriber,1956,Male,26.0
4989,10 minutes,22,Howard St at Beale St,77,11th St at Natoma St,5222,Subscriber,1990,Male,29.0
4990,5 minutes,3,Powell St BART Station (Market St at 4th St),61,Howard St at 8th St,4877,Subscriber,1991,Male,26.0
4991,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),4821,Subscriber,1986,Female,26.0
4992,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),21,Montgomery St BART Station (Market St at 2nd St),5300,Subscriber,1988,Male,29.0
4993,9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,5424,Subscriber,1972,Male,29.0
4994,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),101,15th St at Potrero Ave,3004,Subscriber,1982,Male,27.0
4995,8 minutes,21,Montgomery St BART Station (Market St at 2nd St),81,Berry St at 4th St,4383,Subscriber,1991,Male,29.0
4996,45 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),104,4th St at 16th St,2619,Customer,1951,Male,27.0
4997,6 minutes,22,Howard St at Beale St,9,Broadway at Battery St,1777,Subscriber,1987,Male,27.0
4998,8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,4811,Subscriber,1982,Female,27.0
4999,9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),3128,Subscriber,1972,Male,26.0
5000,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),6,The Embarcadero at Sansome St,1226,Subscriber,1993,Female,26.0
5001,12 minutes,16,Steuart St at Market St,81,Berry St at 4th St,2644,Subscriber,1978,Male,26.0
5002,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),5276,Subscriber,1969,Male,27.0
5003,6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),36,Folsom St at 3rd St,4372,Subscriber,1972,Male,26.0
5004,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),22,Howard St at Beale St,4852,Subscriber,1981,Female,26.0
5005,7 minutes,30,San Francisco Caltrain (Townsend St at 4th St),25,Howard St at 2nd St,5246,Subscriber,1988,Male,27.0
5006,5 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),9,Broadway at Battery St,5305,Subscriber,1972,Male,26.0
5007,17 minutes,3,Powell St BART Station (Market St at 4th St),121,Mission Playground,341,Subscriber,1986,Female,29.0
5008,5 minutes,16,Steuart St at Market St,25,Howard St at 2nd St,1666,Subscriber,1975,Male,27.0
5009,5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,2355,Subscriber,1995,Male,29.0
5010,7 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,4793,Subscriber,1965,Male,26.0
5011,12 minutes,16,Steuart St at Market St,81,Berry St at 4th St,4533,Customer,1982,Male,26.0
5012,4 minutes,22,Howard St at Beale St,49,S Park St at 3rd St,5373,Subscriber,1990,Male,26.0
5013,4 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,5110,Subscriber,1994,Female,26.0
5014,1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),80,Townsend St at 5th St,661,Subscriber,1982,Male,26.0
5015,7 minutes,22,Howard St at Beale St,6,The Embarcadero at Sansome St,5367,Subscriber,1976,Male,27.0
5016,11 minutes,16,Steuart St at Market St,81,Berry St at 4th St,4315,Subscriber,1982,Male,27.0
5017,4 minutes,81,Berry St at 4th St,27,Beale St at Harrison St,5412,Subscriber,1990,Male,29.0
5018,9 minutes,81,Berry St at 4th St,22,Howard St at Beale St,4994,Subscriber,1993,Male,29.0
5019,11 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),90,Townsend St at 7th St,4730,Subscriber,1987,Male,26.0
5020,4 minutes,21,Montgomery St BART Station (Market St at 2nd St),27,Beale St at Harrison St,4343,Subscriber,1971,Male,27.0
5021,8 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,2001,Subscriber,1988,Male,29.0
5022,7 minutes,81,Berry St at 4th St,16,Steuart St at Market St,5000,Subscriber,1994,Female,26.0
5023,7 minutes,16,Steuart St at Market St,25,Howard St at 2nd St,1606,Subscriber,1987,Female,26.0
5024,11 minutes,3,Powell St BART Station (Market St at 4th St),6,The Embarcadero at Sansome St,4553,Subscriber,1987,Male,26.0
5025,5 minutes,16,Steuart St at Market St,9,Broadway at Battery St,1992,Subscriber,1976,Male,26.0
5026,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,5200,Subscriber,1975,Male,26.0
5027,5 minutes,22,Howard St at Beale St,8,The Embarcadero at Vallejo St,5574,Subscriber,1989,Male,27.0
5028,3 minutes,30,San Francisco Caltrain (Townsend St at 4th St),36,Folsom St at 3rd St,4344,Subscriber,1983,Male,26.0
5029,7 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,4653,Subscriber,1984,Female,26.0
5030,7 minutes,81,Berry St at 4th St,349,Howard St at Mary St,4453,Subscriber,1982,Male,26.0
5031,17 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),58,Market St at 10th St,2215,Subscriber,1967,Male,27.0
5032,6 minutes,21,Montgomery St BART Station (Market St at 2nd St),343,Bryant St at 2nd St,1090,Subscriber,1974,Male,26.0
5033,29 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),126,Esprit Park,3453,Customer,1996,Female,26.0
5034,7 minutes,81,Berry St at 4th St,104,4th St at 16th St,5036,Subscriber,1995,Female,27.0
5035,11 minutes,16,Steuart St at Market St,50,2nd St at Townsend St,3109,Subscriber,1966,Female,29.0
