0,1,2,3,4,5,6,7,8,9,10,11
particular,might,code,2011.,longer,obama,form,history,years,memory,ref,physical
type,implication,address,many,supported,cite,tally,computing|,smart,protection,name=grail,constraints
device,so-called,executed,early,original,web|url=http,stick,volume,experimentation,avoid,ariane,require
attached,''errors,see,infectious,equipment,//www.cbsnews.com/news/white-house-medal-of-freedom-margaret-hamilton-grace-hopper/|title=white,later,25|,work=life,storage,flight,access
computer,'',also,programs,manufacturer,house,record,issue,date=june,violations,501,low-level
device,''defects,blue,including,oem,honors,keeping,4|date=october–december,29,buffer,case,architectural
needs,'',screen,morris,problem,two,aids,2003|,1942,overflow,programmers,resources
least,''bugs,death,worm|first,particularly,tech,throughout,doi,accessdate=november,may,protected,fi
one,'',crash-only,internet,critical,'s,fertile,10.1109/mahc.2003.1253887|,17,extremely,four,response
corresponding,must,software,worm,military,female,crescent,pages,2011,important,seven,time
device,fixed,crash,written,operations,pioneers|work=cbsnews.com|accessdate=november,included,16,page=25,transaction,critical,hardware
driver,costs,reporter,experiments,'',23,calculi,19,book,processing,variables,integration
computer,instead,crash,pranks,software,2016,clay,25,published,environments,overflow,high-level
typically,impact,desktop,today,modernization,early,spheres,===universal,1942,memory,due,programming
minimum,assessment,data,malware,'',life,cones,turing,louise,dynamically,concerns,exhibits
least,made,loss,used,often,education,etc,machine===,dickinson,allocated,computational,features
one,determine,debugging,black-hat,knowledge,listen|type=speech|pos=right|filename=grace,represented,1936,rich,memory,constraints,like
input,changes,guru,hacking|black,lost,hopper,counts,alan,speaking,'pools,on-board,generic
device,remove,meditation,hat,time,told,items,turing,powered,task,computer,data
least,''anomaly,kernel,hackers,prevent,u.s.,probably,introduced,ice,task,relied,structures/operations
one,'',panic,governments,updates,chief,livestock,universal,cutting,basis,turned,run-time
output,''discrepancy,memory,steal,improvements,technology,grains,turing,machine,==hardware,incorrect,interpretation
device,'',corruption,personal,reverse,officer,sealed,machine—a,said,support,assumptions,intermediate
computer,would,reboot,financial,engineering,megan,hollow,theoretical,``,debugging==,possible,code
typically,cost-effective,computing,business,generally,smith,unbaked,device,ice,modern,range,files
needs,system,|reboot,information.,needed,.oggvorbis.ogg|title=grace,clay,model,sawing,microprocessors,values,often
one,perhaps,safe,ref,order,hopper,containers.according,every,suspended,least,three,result
device,scheduled,mode,cite,understand,told,harvnb|schmandt-besserat|1981,computation,creator,one,unprotected,execution
driver,new,segmentation,web|title=malware|url=http,'as,u.s.,clay,performed,could,features,variables,far
''software,release,fault,//www.consumer.ftc.gov/articles/0011-malware|publisher=federal,state,chief,containers,turing,brought,cpu,code,operations
utility|utilities,might,systemrescuecd,trade,existing,technology,contained,complete,take,design,reuse|reused,necessary
'',render,undefined,commission-,legacy,officer,tokens,computing,bugs,make,code,higher
computer,change,behaviour,consumer,software,megan,total,machine.,darling,debugging,ariane,memory
programs,unnecessary,references,information|accessdate=27,order,smith,count,ref,``,easier,4,consumption
designed,issues,reflist,march,properly,|description=,objects,name=,ref,hardware,assumptions,larger
assist,life-critical,external,2014,estimate,hopper,transferred,'',name=,support,correct.http,binary
users,mission-critical,links,ref,effort,born,containers,discrete-ch10-p654,'',single-stepping,//www.irisa.fr/pampa/epee/ariane5.html,program
maintenance,system,commons,cite,required,new,thus,'',oclc_405243,program,according,size
care,also,category|computer,web|last=hernandez|first=pedro|title=microsoft,migrate,york,served,cite,'',trap,william,cite
computers,important,errors,vows,system,city,something,book,citation,flag,kahan,journal
''malicious,avoid,http,combat,knowledge,eldest,bill,last,|last=dickinson,instruction,loss,|author=surana
software,situation,//windows.microsoft.com/en-us/windows-vista/picking-up-the-pieces-after-a-computer-crash,government,'to,three,lading,rosen,rich,set,flight,p
'',change,picking,cyber-spying|url=http,state,children,accounts,first,|first=louise,meets,501,|title=meta-compilation
''malware,might,pieces,//www.eweek.com/security/microsoft-vows-to-combat-government-cyber-spying.html|publisher=eweek|accessdate=15,much,parents,book,kenneth,|year=1942,popek,would,language
'',upsetting,computer,december,may,walter,order,h.,|title=we,goldberg,avoided,abstractions
software,users,crash,2013,driven,fletcher,avoid,title,took,virtualization,ieee,|year=2006
developed,long-term,http,malware,changing,murray,breaking,discrete,woods,requirements,754,|url=ftp
harm,living,//www.scientificamerican.com/article.cfm,sometimes,functional,mary,open,mathematics,|page=93,makes,exception-handling,//lispnyc.org/meeting-assets/2007-02-13_pinku/suranathesis.pdf
disrupt,known,id=why-do-computers-crash,used,compliance,campbell,containers,applications,|publisher=jb,easier,policy,|format=pdf
computers,problem,computers,broadly,security,van,first,publisher,lippincott,write,default,|accessdate=2008-03-17
malware,``,crash,government,requirements,horne,clay,mcgraw-hill,co,debugger,substitution,|deadurl=yes
undesirable,cure,defaultsort,corporate,'',scottish,impressions,inc.,|url=https,software,used,|archiveurl=https
malware,would,crash,websites,product,people|scottish,tokens,year,//books.google.com/books,runs,overflowing,//web.archive.org/web/20150217154926/http
closely,worse,computing,gather,security,dutch,placed,1991,id=pt0zaqaaiaaj,cpu,64-bit,//lispnyc.org/meeting-assets/2007-02-13_pinku/suranathesis.pdf
associated,disease,category,guarded,analysis,people|dutch,outside,page,|lccn=42024308,software,16-bit,|archivedate=2015-02-17
computer-related,'',computer,information,'',descent,containers,654,|oclc=405243,debugged,conversion,|df=
crimes,basing,jargon,ref,examine,attended,count,isbn,|postscript=,cpu,caused,cite
though,decisions,category,cite,product,west,shapes,0-07-053744-5,isaac,execute,software,web
malicious,acceptability,computer,web,works,end,impressions,finite-state,asimov,inner,abort,last
programs,anomalies,errors,|last=kovacs,specifications,collegiate,abstracted,machine,uses,loops,occurred,kuketayev
may,avoid,category,|first=eduard,components,church,stylized,infinitely,term,program,piece,title
designed,culture,software,|title=miniduke,estimate,cite,marks,long,bug,test,code,data
practical,``,anomalies,malware,costs,book,finally,read/write,relate,full,turned,abstraction
jokes,zero-defects,,used,identify,publisher,abstract,tape,issues,speed,completely,penalty
=nature,'',,european,potential,naval,marks,machine,robot,still,unnecessary,dap
domain,mandate,,government,patent,institute,systematically,move,short,remain,ariane,benchmark
execution=,people,,organizations|url=http,infringement,press|,used,tape,story,debugger,5.,small
desktop,might,,//news.softpedia.com/news/miniduke-malware-used-against-european-government-organizations-333006.shtml|publisher=softpedia|accessdate=27,acquiring,isbn,numerals,back,``,control,ref,objects
applications,tempted,,february,sensitive,1557509522|,numerals,forth,catch,in-system,name=grail,java
web,deny,,2013,data,last,finally,changing,rabbit,programming,official,url=
browsers,existence,,disrupt,disassembling,williams|,formalized,contents,'',allows,report,http
microsoft,problems,,operation,analysing,first,numbers,performs,published,external,crash,//www.adtmag.com/joop/article.aspx
office,result,,general,design,kathleen,eventually,algorithm,1944,hardware,conducted,id=4597
well,would,,however,system,broome|,http,machine,included,debugger,inquiry,accessdate
smartphone,appear,,malware,component.,title,//www.laits.utexas.edu/ghazal/chap1/dsb/chapter1.html,starts,well-known,reprogram,board,2008-03-17
tablet,zero,,often,ref,grace,schmandt-besserat,initial,collection,system,headed,cite
computer|tablet,''defects,,used,name=rfc2828,hopper,estimates,state,short,test,jacques-louis,book
applications,'',,individuals,internet,admiral,took,goes,stories,example,lions,last
called,considering,,gain,engineering,cyber,4000,sequence,''i,adding,noted,chatzigeorgiou
``,collateral,,information,task,sea|,years,steps,robot,removing,``,last2
mobile,issues,,personal,force,location,webarchive,halts,'',instruction,underlying,stephanides
app|apps,cost-versus-benefit,,identification,rfc,annapolis,|url=https,encounters,page,breakpoints,theme,editor-last
'',impact,,numbers,2828,md|,//web.archive.org/web/20120130084757/http,halt,1,many,development,blieberger
push,assessment,,details,internet,series,//www.laits.utexas.edu/ghazal/chap1/dsb/chapter1.html,state.,``,systems,ariane,editor2-last
parts,broader,,bank,security,library,|date=30,ref,catch,isp,5,strohmeier
software,debugging,,credit,glossary,naval,january,name=,rabbit,support,bias,contribution
industry,techniques,,card,another,biography|,2012,'','',also,towards,evaluating
merge,expand,,numbers,intent,date,marks,formal_languages-ch9-p234,``,hardware,fault-tolerant,performance
desktop,determine,,passwords,may,2004,outside,'',u.s.,debug,computer,power
applications,frequency,,left,remove,great-grandfather,containers,cite,robots,support,system|mitigation,object-oriented
mobile,anomalies,,unguarded,copy,alexander,needed,book,get,hardware,random,vs.
apps,often,,personal,protection,wilson,convey,last,bugs,support,failure,procedural
extent,``,,computer,circumvention,russell,count,linz,multiple,code,supplier,programming
windows,bugs,,network|networked,access,admiral,clay,first,robot,data,inertial,languages
8,'',,computers,restrictions,us,containers,peter,plenty,breakpoints,navigation,title
later,occur,,considerable,'',navy,evolved,title,bugs,address,system,proceedings
ubuntu,help,,risk,bug,fought,clay,introduction,always,comparators,sri,7th
touch,assess,,threats,fixing,battle,tablets,formal,least,data,following,international
tried,impact,,frequently,'',mobile,marks,languages,half,value,specification,conference
allow,overall,,defended,unofficial,bay,count,automata,dozen,comparators,given,reliable
style,system,,various,patch|fix,american,citation|first=eleanor|last=robson|author-link=eleanor,publisher,bugs,considerably,stipulated,software
application,tools,,types,sometimes,civil,robson|year=2008|title=mathematics,d.,left,work,event,technologies
user,debugging,,firewall,enhance,war|civil,ancient,c.,field-testing,involved,detected,ada-europe'2002
interface,video,,computing,legacy,war,iraq|publisher=|isbn=978-0-691-09182-2,heath,'',page,exception,year
used,game,,|firewall,software,grace,p.5,company,file,fault,processor,2002
desktops,consoles,,anti-virus,longer,curious,calculi,year,h96566k.jpg|thumbnail|250px|a,hardware.aggarwal,stopped,pages
laptops,usually,,software,supported,child,use,1990,page,kumar,exception,367
mobiles,done,,network,creators,lifelong,iraq,page,harvard,2003,occurred,publisher
javascript,special,,switch|network,e.g,trait,primitive,234,mark,pp,due,springer
scripts,hardware,,hardware,abandonware,age,accounting,isbn,ii,299-301.,random,postscript
pieces,xbox,,ref,'',seven,systems,0-669-17342-8,electromechanical,joint,failure,--
software,console,,cite,creation,decided,early,machine,computer,test,design,none
traditionally,|xbox,,news|title=south,unlicensed/unapproved,determine,3200–3000,considered,'s,action,error,--
embedded,debug,,korea,duplicates,alarm,bce,origin,log,group,exception,reason
web,unit,,network,'',clock,commodity-specific,stored-program,featuring,example,detected,code
pages,intended,,attack,duplicates,worked,counting,computer—used,dead,arm11,inappropriately,needs
run,developers,,'a,sometimes,dismantled,representation,john,moth,debug,handled,run
directly,debugging,,computer,called,seven,systems,von,removed,tap|jtag,view,particularly
inside,ranges,,virus',clone,alarm,balanced,neumann,device,access,taken,quickly
web,complexity,,|url=http,computing,clocks,accounting,1946,term,hardware,software,efficiently
browser,fixing,,//www.bbc.co.uk/news/world-asia-21855051|newspaper=bbc|accessdate=20,|clones,mother,use,``,``,debug,considered,may
web,simple,,march,computing,realized,3000–2350,electronic,bug,interfaces,correct,require
page,errors,,2013,domain,limited,bce,computing,'',arm,shown,use
loaded,performing,,since,'',one,sexagesimal,instrument,used,architecture,fault,lower-level
without,lengthy,,rise,academic/learning,clock,number,'',account,processors,...,language
need,tiresome,,widespread,purposes,cite,system,bears,computer,using,although,even
web,tasks,,broadband,'',journal,use,von,pioneer,nexus,failure,higher-level
browser,data,,internet,reverse,|last1=dickason,2350–2000,neumann,grace,standard,due,language
plugin,collection,,access,engineering,|first=elizabeth,bce,architecture,hopper,|nexus,systematic,would
software,analysis,,malicious,learning,|url=http,use,name.,publicized,command,software,make
written,scheduling,,software,purposes,//inventors.about.com/library/inventors/bl_grace_murray_hopper.htm,counting,ref,cause,set,design,coding
programming,updates,,frequently,may,|title=looking,rods,citation,malfunction,processors,error,easier
languages,debugging,,designed,understand,back,one,first,early,used,mechanisms,many
also,skill,,profit,key,grace,example,martin,electromechanical,embedded,introduced,cases
run,programmer,,since,issues,murray,file,last,computer,systems,mitigate,critical
within,major,,2003,unsuccessful,hopper,abacus,davis,citation|title=florida,typically,type,portions
web,factor,,majority,design,'s,6.png|thumb|left|the,author-link,comprehensive,extensive,problem,program
browser,ability,,widespread,subsequently,younger,chinese,martin,assessment,jtag,example,mostly
software,debug,,computer,improve,years,suanpan,davis,test|fcat,debug,computers,high-level
either,problem,,virus|viruses,design,|journal=chips,算盘,title,nrt,support,within,language
translated,difficulty,,worms,'',|date=april,number,engines,test,micro,sris,hand-coded
javascript,software,,designed,competitive,1992,represented,logic,|publisher=harcourt,controllers,could,assembly
web,debugging,,take,technical,university-preparatory,abacus,mathematicians,|date=march,six,continued,language
browser,varies,,control,intelligence,school|preparatory,"6,302,715,408",origin,18,pins,provide,leading
plugin,greatly,,users,'',school,abacus,computer,2008,need,best,much
supports,complexity,,computers,understand,education,initially,edition,typical,use,estimates,faster
language,system,,illicit,one,attended,used,1st,version,low,required,efficient
installed,also,,purposes.,'s,wardlaw-hartridge,arithmetic,year,story,pin-count,attitude,simply
common,depends,,ref,competitor,school|hartridge,tasks,2000,quote|in,substitutes,control|attitude,reliably
example,extent,,cite,actually,school,roman,place,1946,jtag,information,functioning
latter,programming,,web|title=malware,versus,plainfield,abacus,new,hopper,background,reason,program
actionscript,language,,revolution,say,new,developed,york,released,debug,concern,optimisation|optimised
scripts,used,,change,'',jersey,devices,ny,active,mode,software,program
supported,available,,target|url=http,saving,hopper,used,publisher,duty,interface|bdm,exception,however
adobe,tools,,//technet.microsoft.com/en-us/library/cc512596.aspx|date=march,money,initially,babylonia,w.,joined,spy-bi-wire,allowed,growing
flash,''debuggers,,2007,'',rejected,early,w.,harvard,debugwire,even,complexity
plugin,'',,infected,one,early,2400,norton,faculty,atmel,required,modern
server,debuggers,,``,finds,admission,bc,company,computation,avr,cause,microprocessor
software,software,,zombie,piece,vassar,since,id,laboratory,debugwire,processor,architectures
including,tools,,computers,electronics,college,many,pb,continued,example,halt,well-designed
web,enable,,'',capable,age,forms,isbn,work,uses,handling,compilers
applications,programmer,,used,spare,16,reckoning,0-393-32229-7,harvard,bidirectional,mission-critical,high-level
usually,monitor,,send,user,test,boards,===early,mark,signaling,equipment,languages
run,execution,,email,purchase,scores,tables,programmable,ii|mark,reset,indeed,frequently
web,computers,,spam,separate,latin,invented,computers===,ii,pin,loss,produce
server,|execution,,host,product,low,medieval,z3,harvard,==debugger,proper,code
output,program,,contraband,'',admitted,european,computer,mark,front-ends==,software,comparable
dynamically,stop,,data,repurposing,following,counting,|z3,iii|mark,capable,function,efficiency
generated,restart,,child,'',year,house,computer,iii,popular,hazardous,low-level
web,set,,pornography,opportunities,graduated,checkered,invented,operators,debuggers,software,programmers
pages,breakpoints,,ref,repurpose,phi,cloth,konrad,traced,implement,runs,produce
web,change,,cite,stuff,beta,would,zuse,error,simple,sri,hand
browsers,values,,web|title=child,otherwise,kappa,placed,1941,mark,command,units,higher
using,memory,,porn,obsolete,society|phi,table,germany,ii,line,case,abstraction
e.g,term,,malware,incorporated,beta,markers,digital,moth,interface,ariane,may
php,''debugger,,'s,bigger,kappa,moved,programmable,trapped,cli,501,allow
java,'',,ultimate,body,vassar,around,computer.,relay,—often,resulted,powerful
programming,also,,evil|url=http,utility,1928,according,ref,coining,maximize,switch-off,techniques
language,refer,,//www.itworld.com/security/84077/child-porn-malwares-ultimate-evil|date=november,common,bachelor,certain,name=,term,porting|portability,two,providing
|java,person,,2009,situations,'s,rules,'',''bug,minimize,still,better
asp.net,debugging,,engage,=reverse,degree,aid,hoc-zuse,'',resource,healthy,overall
even,generally,,distributed,engineering,mathematics,calculating,'',bug,consumption,critical,results
node.js|javascript,high-level,,denial-of-service,machines=,physics,sums,cite,carefully,developers,units,low-level
runs,programming,,attack,computer-aided,earned,money,web,removed,typically,equipment,counterparts
server,languages,,computing,design,master,file,url,taped,consider,``,particular
modern,java,,|attacks,cad,'s,nama,http,log,debugging,https,settings
times,programming,,form,become,degree,machine,//history-computer.com/moderncomputer/relays/zuse.html,book,via,//www.ima.umn.edu/~arnold/disasters/ariane5rep.html,cite
commonly,language,,extortion.,popular,yale,d'anticythère,title,stemming,graphical,processing,journal
include,|java,,ref,reverse,university,1.jpg|thumb|the,history,first,user,point,|author1=manuel
javascript,make,,http,engineering,1930.,ancient,computing,bug,interface,view,carro
run,debugging,,"//www.pcworld.com/article/id,116841-page,1/article.html",become,1934,greek-designed,digital,today,gui,hardware,|author2=josé
web,easier,,pc,viable,earned,antikythera,computer,call,easier,interrupts,f.
browser,features,,world,method,ph.d.,mechanism,uses,errors,productive,similar,morales
well,exception,,–,create,mathematics,dating,electricity,glitches,reason,resumable,|author3=henk
case,handling,,zombie,3d,yale,150,calculating,program,visual,exceptions,l.
typically,make,,pcs,virtual,ref,100,component,''bug,front-ends,though,muller
run,real,,silent,model,name=,bc,z3,'',allow,typically,|author4=g
partly,sources,,growing,existing,'',world,contained,cite,users,unrelated,puebla
server,erratic,,threat,physical,nwhm,'s,"2,400",web,monitor,user,|author5=m
partly,behaviour,,--,part,'',oldest,relays,|url=http,control,program,hermenegildo
web,easier,,bot,use,cite,analog,create,//ei.cs.vt.edu/~history/hopper.danis.html,subservient,'s,journal
browser,spot,,generated,3d,web|,computer,electronic,|title=danis,cli-only,control,proceedings
plug-in,programming,,title,cad,url=http,antikythera,circuit|circuits,sharron,debuggers,flow,2006
computing,languages,,--,computer-aided,//www.nwhm.org/education-resources/biography/biographies/grace-murray-hopper/|,mechanism,circuits,ann,via,exception,international
|plugins,c,,programs,manufacturing|cam,title=grace,believed,provided,``,graphical,handling,conference
extensions,programming,,designed,computer-aided,murray,earliest,binary,rear,user,software,compilers
software,language,,monitor,engineering|cae,hopper,mechanical,code|binary,admiral,interface,software,architecture
extends,|c,,users,software,1906-1992,analog,floating-point,grace,gui,exception,synthesis
modifies,assembly,,web,cite,accessdate=september,``,nine-instruction,murray,debugger,handling,embedded
functionality,language|assembly,,browsing,journal|doi=10.1016/s0010-4485,1,computer,computer,hopper,front-ends,support,systems
another,bugs,,display,96,2014|,'',programming,'',designed,provided,title
piece,may,,unsolicited,00054-1|url=http,publisher=national,according,z3,|date=february,compatible,software,high-level
software,cause,,advertisements,//ralph.cs.cf.ac.uk/papers/geometry/re.pdf|title=reverse,women,derek,specially,16,variety,tools,languages
require,silent,,redirect,engineering,'s,j.,designed,1997,cli-only,differs,small
software,problems,,affiliate,geometric,history,de,keyboard,|publisher=ei.cs.vt.edu,debuggers,somewhat,devices
used,memory,,marketing,models–an,museum|,solla,punched,|accessdate=january,others,understood,case
order,corruption,,revenues,introduction|year=1997|last1=varady|first1=t|last2=martin|first2=r|last3=cox|first3=j|journal=computer-aided,website=nwhm.org,price,tape,31,targeted,exception,study
function,often,,called,design|volume=29|issue=4|pages=255–268,direction,http,eniac|electronic,2010,one,hardware,url
embedded,difficult,,spyware,reverse-engineering,øystein,//www.antikythera-mechanism.gr/project/general/the-project.html,numerical,hopper,specific,similar,http
software,see,,spyware,process,ore.,''the,integrator,find,debugger,concepts,//www.clip.dia.fi.upm.es/papers/carro06
resides,initial,,programs,involves,ref,antikythera,computer,bug,==list,involved,stream_interpreter_cases.pdf
firmware,problem,,spread,measuring,name=,mechanism,fall,readily,debuggers==,programming,format
within,happened,,like,object,'',research,1945,acknowledged,main|list,language,pdf
embedded,cases,,computer,reconstructing,greenladuke09,project,turing,date,debuggers,mechanisms,year
systems,memory,,virus|viruses,3d,'','',complete,log,example,exception,2006
devices,debugging|memory,,instead,model,though,antikythera,general-purpose,book,farm|date=june,handling,publisher
dedicated,debugger,,generally,physical,books,mechanism,computer,september,2015,term,acm
single,tools,,installed,object,including,research,used,9,widely,''exception,postscript
use,may,,exploiting,measured,kurt,project,"17,468",1947,used,'',--
uses,needed,,security,using,beyer,retrieved,vacuum,``,debuggers,typically,none
cars,certain,,holes,3d,'s,1,tubes,http,firefox,used,--
televisions,situations,,also,scanner|3d,''grace,july,create,//catb.org/jargon/html/b/bug.html,javascript,specific,high-level
although,general,,hidden,scanning,hopper,2007.,electronic,bug,debugger,sense,languages
embedded,purpose,,packaged,technologies,invention,designed,circuit|circuits,'',gnu,denote,designed
devices,software,,together,like,information,calculate,core,''the,debugger|gdb,data,independent
wireless,tools,,unrelated,coordinate-measuring,age,astronomical,series,jargon,gnu,structure,specific
chipsets,language,,user-installed,machine|cmms,'',positions,pascalines,file,debugger,storing,computing
''themselves,specific,,software.,3d,reported,discovered,wired,'',lldb,information,system
'',nature,,ref,scanner,hopper,1901,together.,ver,debugger,exceptional,architecture
part,useful,,cite,triangulation|laser,first,antikythera,ref,4.4.7.,|lldb,condition,facilitates
ordinary,take,,web|title=peer,scanners,woman,wreck,name=,retrieved,microsoft,one,executing
non-embedded,form,,peer,3d,earn,greek,'',june,visual,mechanism,program
computer,''list,,information|url=http,scanner,yale,island,eniac-ch5-p102,3,studio,transfer,written
system,tools,,//oit.ncsu.edu/resnet/p2p|publisher=north,structured,phd,antikythera,'',2010.,debugger,control,language
pc,static,,carolina,light|structured,mathematics,kythera,cite,ref,valgrind,''raise,computing
smartphone,code,,state,light,first,crete,book,name=,windbg,'',system
cite,analysis|static,,university|accessdate=25,digitizers,ten,dated,last,'',eclipse,exception,compatible
web|title=embedded,code,,march,industrial,women,''circa,mccartney,si-bug,software,known,support
software—technologies,analysis,,2011,ct,prior,'',first,'',|eclipse,''throw,interpreted
trends|url=http,tools,,ransomware,scanning,1934,100,scott,'',debugger,'',just-in-time
//www.computer.org/csdl/mags/so/2009/03/mso2009030014.html|publisher=ieee,'',,affects,computed,charlotte,bc,title,http,api,exception,compilation|jit
computer,tools,,infected,tomography,cynthia,devices,eniac,//americanhistory.si.edu/collections/search/object/nmah_334663,used,said,program
society|date=may–june,look,,computer,measured,barnum,level,–,log,range,''thrown,high-level
2009|accessdate=6,specific,,way,data,1860–1934,complexity,triumphs,book,ides,'',languages
november,set,,demands,alone,cite,comparable,tragedies,computer,eclipse,execution,improved
2013,known,,payment,usually,news,antikythera,world,bug,ide,transferred,designers
embedded,problems,,reverse,represented,last,mechanism,'s,'',java,``,develop
system,common,,damage,point,murray,would,first,national,nodeclipse,catch,improvements
context,rare,,example,cloud,first,reappear,computer,museum,javascript,'',cases
sometimes,within,,programs,lacks,margaret,thousand,publisher,american,wdw,point,new
clear,source,,cryptolocker,topological,a.,years,walker,history,watcom,view,high-level
distinction,code,,encryption|encrypt,information,m.,later,company,smithsonian,c/c++,author,languages
system,issues,,files,therefore,publication-date,many,year,institution,compiler|openwatcom,subroutine|routine,evolve
software,detected,,securely,often,may–june,mechanical,1999,``,debugger,raising,one
application,tools,,decrypt,processed,2010,aids,page,https,earlier,exception,others
software,would,,payment,modeled,title,calculation,102,//web.archive.org/web/20000119173039/http,minicomputer,useful,goal
however,rarely,,substantial,usable,first,measurement,isbn,//history.navy.mil:80/photos/images/h96000/h96566kc.htm,debuggers,way,aggregating
embedded,picked,,sum,format,lady,constructed,0-8027-1348-3,first,include,signal,popular
systems,compiler,,money,triangular-faced,math,astronomical,40,``,dynamic,routine,constructs
run,interpreter,,malware,mesh,periodical,navigation,units,computer,debugging,could,new
embedded,thus,,used,set,yale,use,weighed,bug,technique,execute,improved
operating,syntax,,generate,nonuniform,alumni,planisphere,30,'',ddt,normally,features
systems,checkers,,money,rational,magazine,star,tons,naval,on-line,example,example
systems,semantic,,click,b-spline|nurbs,volume,chart,occupied,historical,debugging,input,scala
retain,checkers,,fraud,surfaces,73,invented,"convert|1,800|sqft|m2|0",center,tool,argument,programming
distinction,tools,,making,computer,issue,abū,consumed,note,odt,invalid,language
system,claim,,appear,assisted,5,rayhān,650,harvard,earlier,e.g,|scala
software,able,,computer,design|cad,pages,al-bīrūnī,per,mark,mainframe,value,maintains
application,detect,,user,model,5–6,early,hour,ii,debuggers,outside,backward
software,300+,,clicked,cite,issn,11th,inflation|in,computer,include,domain,compatibility
although,unique,,advertising,web|url,0044-0051,century.,1940s,complete,date,function,java
typically,problems,,link,http,postscript,ref,currency,summer,release,resource,programming
one,commercial,,site,//haman-co.com|title,--,name=wiet,electricity,1947.,order,relies,language
fixed,free,,generating,haman,none,g,idle.,operators,1985,unavailable,|java
application,tools,,payment,engineering,--,wiet,ref,found,ca/eztest,like,means
always,exist,,advertiser,solutions|date,dissertation,v.,name=,including,1990,missing,programs
run,various,,estimated,|accessdate,''new,elisseeff,'',william,xpediter,file,libraries
microcode,languages,,2012,|website,types,p.,eniac-ch5-p102,``,expediter,hard,written
special,tools,,60,|publisher,irreducibility,wolff,'',bill,cics,disk,java
relatively,extremely,,70,|last,criteria,j.,20,'',current,error,continue
obscure,useful,,active,|first,'',naudu,base-10,burke,mainframe,out-of-memory,usable
type,checking,,malware,hybrid,published,1975,accumulator,later,debuggers,errors,even
embedded,large,,used,modelling,year.g,''history,computing,naval,debug,systems,programming
software,source,,kind,commonly,m.,mankind,|accumulators,surface,tool,without,shop
tells,trees,,click,used,hopper,vol,programming,warfare,z/os,exceptions,switches
processor,impractical,,fraud,term,o.,3,eniac,center,cite,routines,scala
''itself,code,,22,nurbs,ore,great,took,dahlgren,web|url=ftp,would,makes
'',walkthroughs,,ad-clicks,solid,``,medieval,two,division|naval,//public.dhe.ibm.com/software/htp/pdtools/info/datasheetdt.pdf,need,transition
execute,typical,,fraudulent.,modeling|parametric,new,civilisations,months.,weapons,|format=pdf,return,easier
machine,example,,ref,modelling,types,'',ref,laboratory,|title=ibm,special,lifespan
code,problem,,cite,implemented,irreducibility,p.,name=,dahlgren,debug,error,high-level
actually,detected,,web|url=http,together,criteria,649.,'',virginia,tool,code,coding
lower,would,,//blogs.technet.com/b/mmpc/archive/2012/11/29/another-way-microsoft-is-disrupting-the-malware-ecosystem.aspx|title=another,using,'',george,eniac-ch5-p102,ieee,z/os,however,indefinite
level,variable,,way,combination,''bull,allen,'',annals,v13.1,sometimes,contrast
machine,dereference,,microsoft,geometric,amer,unwin,three,history,|publisher=puiblic.dhe.ibm.com,complicated,low-level
code,occurs,,disrupting,freeform,math,ltd,function,computing,|accessdate=2015-05-07,semipredicate,programs
typically,''before,,malware,surfaces,soc,unesco,tables,vol,xpediter,problem,rarely
proprietary,'',,ecosystem|publisher=|accessdate=18,provide,'',astrolabe,wheels,22,expediter,users,survive
processor,variable,,february,powerful,40,invented,needed,issue,cics,routine,beyond
manufacturer,assigned,,2015,method,1934,hellenistic,rolled,1,z/xdc,need,system
necessary,value,,malware,3d,216,civilization|hellenistic,fixed,2000,cite,write,architecture
correctional,another,,usually,modelling,cite,world,function,familiar,web|url=http,extra,written
microcode,example,,used,areas,web,either,panels,engineering,//www-304.ibm.com/partnerworld/gsd/solutiondetails.do,code,without
software,would,,criminal,freeform,title=new,1st,function,term,solution=48514,distinguish,major
updates,perform,,purposes,data,types,2nd,tables,amusedly,lc=en,normal,revision
supplied,strong,,used,combined,irreducibility,centuries,connected,kept,statecd=p,return,engineering
users,type,,sabotage,exact,criteria,bc,function,insect,tab=2,values,'trade-off
much,checking,,often,geometric,url=http,often,panels,notation,|title=ibm,erroneous,'abstraction
cheaper,language,,without,surfaces,//www.ams.org/journals/bull/1934-40-03/s0002-9904-1934-05818-x/,attributed,using,``,global,ones,penalty
shipping,require,,direct,create,hopper,hipparchus,heavy,first,solutions,programming,==
replacement,thus,,benefit,hybrid,began,combination,black,actual,directory,languages,relative
processor,better,,perpetrators,model,teaching,planisphere,cables,case,z/xdc,differ,meaning
hardware,locating,,one,typical,mathematics,dioptra,function,bug,extended,substantially,==
thus,likely,,example,example,vassar,astrolabe,table,found,debugging,notion,examples
ordinary,errors,,sabotage,would,1931,effectively,728,'',controller,exception,high-level
programmer,versus,,stuxnet,reverse,promoted,analog,rotating,hopper,z2.1,contemporary,programming
would,actual,,used,engineering,associate,computer,knobs,loved,|accessdate=2015-05-29,languages,languages
expect,errors,,destroy,cylinder,professor,capable,programming,recount,==see,roughly,active
ever,result,,specific,head,1941.,working,eniac,story,also==,divided,use
deal,tools,,industrial,includes,ref,several,also,cite,portal|software,two,today
